Image Names	Problem_colors	Contrasts	Labels	Distance	Conclusion
elife-00003-fig3-v1	TRUE	N	NA	N	Probably problematic
elife-00031-fig4-v1	FALSE				Definitely okay
elife-00036-fig2-v1	TRUE	NA	NA	Y	Definitely okay
elife-00036-fig6-v1	TRUE	N	Y	Y	Definitely okay
elife-00133-fig2-v1	FALSE				Gray-scale
elife-00160-fig1-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-00160-fig5-v1	TRUE	N	N	N	Definitely problematic
elife-00170-fig1-v1	FALSE				Gray-scale
elife-00183-fig8-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-00184-fig2-v1	TRUE	Y	Y	Y	Definitely okay
elife-00184-fig3-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-00184-fig9-v1	TRUE	Y	Y	N	Probably okay
elife-00190-fig8-v1	TRUE	Y	Y	N	Definitely okay
elife-00218-fig7-v1	TRUE	Y	Y	Y	Definitely okay
elife-00220-fig5-v1	TRUE	N	N	N	Definitely problematic
elife-00247-fig2-v1	TRUE	Y	N	Y	Definitely okay
elife-00288-fig4-v1	TRUE	NA	NA	Y	Definitely okay
elife-00299-fig1-v1	FALSE				Definitely okay
elife-00299-fig2-v1	TRUE	Y	N	N	Definitely okay
elife-00306-fig4-v1.jpg	TRUE	Y	Y	N	Probably okay
elife-00308-fig5-v1	FALSE				Gray-scale
elife-00308-fig6-v1	FALSE				Gray-scale
elife-00321-fig2-v1	FALSE				Gray-scale
elife-00324-fig4-v1	TRUE	Y	Y	N	Probably okay
elife-00329-fig12-v1	FALSE				Gray-scale
elife-00329-fig6-v1	FALSE				Gray-scale
elife-00333-fig2-v1.jpg	FALSE				Definitely okay
elife-00333-fig4-v1	TRUE	Y	Y	Y	Definitely okay
elife-00334-fig3-v1	TRUE	Y	N	N	Definitely okay
elife-00336-fig5-v1	TRUE	N	N	N	Definitely problematic
elife-00337-fig2-v1	TRUE	N	N	N	Definitely problematic
elife-00348-fig7-v1	TRUE	Y	Y	Y	Definitely okay
elife-00362-fig8-v1	TRUE	Y	N	N	Probably okay
elife-00378-fig1-v1.jpg	TRUE	N	N	N	Definitely problematic
elife-00380-fig3-v1	TRUE	N	N	N	Definitely problematic
elife-00400-fig1-v1	TRUE	N	N	N	Definitely problematic
elife-00400-fig3-v1	TRUE	Y	N	N	Probably okay
elife-00425-fig7-v1	TRUE	Y	N	N	Definitely okay
elife-00467-fig5-v1	FALSE				Gray-scale
elife-00508-fig3-v1	TRUE	N	N	N	Definitely problematic
elife-00537-fig2-v1	TRUE	Y	N	N	Definitely okay
elife-00569-fig2-v1	TRUE	Y	N	Y	Definitely okay
elife-00592-fig7-v1	FALSE				Definitely okay
elife-00592-fig9-v1.jpg	TRUE	Y	N	Y	Probably okay
elife-00594-fig9-v1	FALSE				Definitely okay
elife-00603-fig11-v1	FALSE				Definitely okay
elife-00603-fig4-v1.jpg	TRUE	Y	N	N	Probably okay
elife-00631-fig6-v1	FALSE				Gray-scale
elife-00632-fig6-v1	FALSE				Definitely okay
elife-00647-fig11-v1	FALSE				Gray-scale
elife-00647-fig2-v1.jpg	FALSE				Gray-scale
elife-00654-fig5-v1	TRUE	Y	N	N	Definitely okay
elife-00666-fig4-v1	TRUE	N	N	N	Definitely problematic
elife-00704-fig2-v1	TRUE	N	N	N	Definitely problematic
elife-00708-fig2-v1	TRUE	Y	N	N	Definitely okay
elife-00731-fig11-v1	TRUE	Y	Y	Y	Definitely okay
elife-00747-fig3-v1	FALSE				Definitely okay
elife-00750-fig4-v1	TRUE	Y	N	N	Probably okay
elife-00757-fig3-v1	FALSE				Definitely okay
elife-00759-fig2-v1	TRUE	Y	N	Y	Definitely okay
elife-00762-fig1-v1.jpg	TRUE	Y	Y	N	Definitely okay
elife-00772-fig5-v1	FALSE				Definitely okay
elife-00782-fig4-v1.jpg	TRUE	Y	Y	N	Probably okay
elife-00790-fig1-v1	TRUE	N	N	N	Definitely problematic
elife-00790-fig6-v1	FALSE				Gray-scale
elife-00800-fig4-v1.jpg	FALSE				Definitely okay
elife-00801-fig4-v1	TRUE	Y	N	N	Probably okay
elife-00808-fig1-v1.jpg	TRUE	Y	Y	Y	Definitely okay
elife-00813-fig6-v1	TRUE	Y	Y	N	Definitely okay
elife-00824-fig6-v1	TRUE	Y	Y	Y	Definitely okay
elife-00829-fig3-v1	TRUE	N	N	N	Definitely problematic
elife-00882-fig2-v1	TRUE	N	N	N	Definitely problematic
elife-00882-fig4-v1	TRUE	Y	N	Y	Definitely okay
elife-00882-fig6-v1	TRUE	Y	Y	Y	Definitely okay
