,article_id,image_file_path,is_rgb,max_ratio,num_high_ratios,proportion_high_ratio_pixels,mean_delta,euclidean_distance_metric,firstPart,secondPart
157,00160,elife-00160-fig1-v1.jpg,1,10.526329814581665,104.0,0.0242059336823734,0.0297709904829127,16.381527307120106,Images,00160
211,00183,elife-00183-fig8-v1.jpg,1,11.42805730735904,317.0,0.1679290780141844,0.05513449085613,2.23606797749979,Images,00183
217,00184,elife-00184-fig3-v1.jpg,1,10.625209559976604,49.0,0.083037323037323,0.0413045242558098,19.235384061671343,Images,00184
334,00306,elife-00306-fig4-v1.jpg,1,10.652860323709644,39.0,0.0440981735159817,0.0625558267090792,9.219544457292889,Images,00306
396,00333,elife-00333-fig2-v1.jpg,1,14.198881302796352,11.0,0.0023533471359558,0.0542737272365461,19.235384061671343,Images,00333
456,00378,elife-00378-fig1-v1.jpg,1,11.586171968554243,111.0,0.1002777777777777,0.0244964941407478,13.41640786499874,Images,00378
669,00592,elife-00592-fig9-v1.jpg,1,10.332599924999382,44.0,0.0114938271604938,0.0317884902016029,29.8328677803526,Images,00592
687,00603,elife-00603-fig4-v1.jpg,1,8.943509108370622,13.0,0.0309848484848484,0.0671359332226106,18.027756377319943,Images,00603
725,00647,elife-00647-fig2-v1.jpg,0,,,,,,Images,00647
875,00762,elife-00762-fig1-v1.jpg,1,9.838570422430395,3.0,0.0033189655172413,0.0476042600249909,11.590169943749476,Images,00762
915,00782,elife-00782-fig4-v1.jpg,1,5.312640771544633,3.0,0.0031660231660231,0.0284668999474071,31.344830668973746,Images,00782
943,00800,elife-00800-fig4-v1.jpg,1,10.025359179161612,5.0,0.0037566137566137,0.022648392374534,20.024984394500787,Images,00800
976,00808,elife-00808-fig1-v1.jpg,1,8.883404106500787,4.0,0.0050062421972534,0.0660408533279042,49.65883607174055,Images,00808
1092,00882,elife-00882-fig9-v1.jpg,0,,,,,,Images,00882
1126,00926,elife-00926-fig1-v1.jpg,0,,,,,,Images,00926
1157,00947,elife-00947-fig7-v1.jpg,1,24.158199025652472,292.0,0.114913112164297,0.1804477970788355,4.0,Images,00947
1184,00966,elife-00966-fig2-v1.jpg,1,9.109475230303667,15.0,0.0459908675799086,0.0172634480742148,28.0713376952364,Images,00966
1187,00967,elife-00967-fig1-v1.jpg,1,14.941492852339245,62.0,0.0713641755634638,0.0611176994205172,17.69180601295413,Images,00967
1287,01071,elife-01071-fig2-v1.jpg,1,10.837295292580835,87.0,0.0717006802721088,0.0728759486379342,15.556349186104043,Images,01071
1301,01085,elife-01085-fig11-v1.jpg,1,9.393102281778075,46.0,0.0325101513473606,0.0144038344074247,9.486832980505138,Images,01085
1344,01102,elife-01102-fig8-v1.jpg,0,,,,,,Images,01102
1353,01119,elife-01119-fig2-v1.jpg,0,,,,,,Images,01119
1427,01201,elife-01201-fig4-v2.jpg,1,11.192944571192836,148.0,0.080309423347398,0.0511706181635744,1.0,Images,01201
1438,01201,elife-01201-fig8-v1.jpg,1,7.779960885068174,8.0,0.0063046192259675,0.0249786120939314,36.713765551366,Images,01201
1506,01239,elife-01239-fig7-v1.jpg,1,9.614903728454482,26.0,0.0346804835924006,0.0637495476061381,31.0,Images,01239
1549,01287,elife-01287-fig8-v1.jpg,1,11.853479314222716,42.0,0.0162295081967213,0.0423362280534012,25.495097567963924,Images,01287
1608,01308,elife-01308-fig7-v1.jpg,1,17.376386060785915,68.0,0.1550586854460094,0.0300959207546471,16.55294535724685,Images,01308
1642,01323,elife-01323-fig2-v1.jpg,1,9.4113663687761,51.0,0.0849262536873156,0.0473692605733508,14.0,Images,01323
1764,01438,elife-01438-fig7-v1.jpg,1,5.579643055154052,1.0,0.00016194331983805668,0.047353125368498,52.19637379485947,Images,01438
1794,01462,elife-01462-fig5-v1.jpg,1,13.596203383246058,3.0,0.00055,0.0485705348450554,24.04163056034261,Images,01462
1800,01473,elife-01473-fig4-v1.jpg,1,8.095623730850816,24.0,0.0360201149425287,0.0501520922350419,2.5,Images,01473
1802,01479,elife-01479-fig1-v1.jpg,1,11.180766775793112,27.0,0.0910824108241082,0.0151582789776411,17.478552440554438,Images,01479
1901,01574,elife-01574-fig2-v1.jpg,1,11.474575344533894,20.0,0.0144202898550724,0.0266180580445189,32.31098884280702,Images,01574
1906,01574,elife-01574-fig8-v1.jpg,0,,,,,,Images,01574
1913,01581,elife-01581-fig2-v1.jpg,0,,,,,,Images,01581
1976,01630,elife-01630-fig11-v1.jpg,1,8.05968767799117,9.0,0.0095670995670995,0.0110636402521277,28.0713376952364,Images,01630
2036,01695,elife-01695-fig8-v1.jpg,1,10.733810708870212,90.0,0.0276231884057971,0.0586730727411535,15.585760994828677,Images,01695
